frame_num,track_id,det_bb_top,det_bb_left,det_bb_bottom,det_bb_right,track_x,track_y,track_Vx,track_Vy,track_len,track_value,pose_tip_x,pose_tip_y,pose_left_x,pose_left_y,pose_right_x,pose_right_y,pose_bottom_x,pose_bottom_y,pose_tail1_x,pose_tail1_y,head_x,head_y
5.0,0.0,1251.0,450.0,1369.0,663.0,556.619140625,1309.02734375,-0.22265625,-0.9609375,6.0,0.0,638.8217163085938,1276.872314453125,578.6654052734375,1273.124267578125,592.668701171875,1312.9173583984375,555.65966796875,1308.6114501953125,498.62689208984375,1338.490478515625,649.0,1248.0
5.0,1.0,707.0,1381.0,807.0,1583.0,1481.82421875,756.796875,-0.6796875,0.28125,6.0,0.0,1389.6259765625,789.284423828125,1451.55029296875,799.5311889648438,1431.305419921875,738.657958984375,1481.0147705078125,755.8388061523438,1540.25146484375,735.6226806640625,1373.0,776.0
6.0,0.0,1251.0,449.0,1368.0,663.0,556.09912109375,1309.1416015625,-0.4208984375,-0.244140625,7.0,0.0,639.35009765625,1276.8731689453125,579.2533569335938,1272.876220703125,592.43408203125,1312.3858642578125,555.5624389648438,1308.510009765625,498.16925048828125,1338.6192626953125,649.0,1248.0
6.0,1.0,707.0,1382.0,807.0,1582.0,1481.7861328125,757.01953125,-0.251953125,0.2421875,7.0,0.0,1390.0987548828125,788.8469848632812,1450.7275390625,798.4169921875,1432.703125,740.6715087890625,1481.040283203125,756.8648681640625,1539.9495849609375,735.9476318359375,1373.0,776.0
7.0,0.0,1257.0,463.0,1355.0,670.0,563.7945556640625,1306.724365234375,4.989990234375,-1.69287109375,8.0,0.0,647.5712890625,1278.68359375,589.2930908203125,1275.583984375,597.64453125,1308.9202880859375,563.076171875,1306.030517578125,508.1647033691406,1334.0137939453125,667.0,1250.0
7.0,1.0,707.0,1384.0,813.0,1571.0,1478.508544921875,759.3154296875,-2.26904296875,1.611328125,8.0,0.0,1392.3255615234375,798.6270751953125,1456.1915283203125,799.2379760742188,1436.7100830078125,749.2784423828125,1478.535888671875,759.3250122070312,1533.820556640625,735.5452880859375,1371.0,790.0
8.0,0.0,1258.0,464.0,1346.0,671.0,567.8211669921875,1302.7578125,4.34771728515625,-3.2086181640625,9.0,0.0,644.4403076171875,1275.811767578125,588.9686279296875,1274.601806640625,600.2950439453125,1312.6064453125,566.999267578125,1302.0009765625,515.7860107421875,1329.276611328125,673.0,1263.0
8.0,1.0,709.0,1385.0,816.0,1568.0,1476.434814453125,762.106689453125,-2.1387939453125,2.39794921875,9.0,0.0,1396.52001953125,806.8192749023438,1460.0848388671875,800.8587036132812,1438.4361572265625,757.6027221679688,1476.596923828125,762.3685913085938,1531.470947265625,734.365966796875,1378.0,796.0
9.0,0.0,1257.0,459.0,1339.0,672.0,567.167236328125,1298.3873291015625,1.013275146484375,-3.98321533203125,10.0,0.0,643.51513671875,1278.4320068359375,598.355712890625,1271.5394287109375,604.2000122070312,1307.1956787109375,566.6798706054688,1297.61865234375,520.5166015625,1319.3182373046875,674.0,1271.0
9.0,1.0,711.0,1389.0,819.0,1563.0,1475.573974609375,764.8761596679688,-1.28680419921875,2.6456298828125,10.0,0.0,1400.7449951171875,808.8228759765625,1463.9097900390625,797.5270385742188,1442.5054931640625,760.5029296875,1475.3836669921875,764.122314453125,1528.962158203125,733.931884765625,1387.0,797.0
